Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
WR,Lynn Bowden Jr,3000,MIA,0.7,1.7
WR,Lynn Bowden Jr,3000,MIA,0.7,0.9
WR,CJ Board,3000,NYG,3.02,4.7
WR,Noah Brown,3000,DAL,3.75,3.0
WR,Malik Turner,3000,DAL,0.0,0.6
WR,Ventell Bryant,3000,DAL,0.0,0.1
WR,Ashton Dulin,3000,IND,0.4,1.7
WR,Marcus Johnson,3000,IND,3.7,4.9
WR,KhaDarel Hodge,3000,CLE,2.7,2.6
WR,Donovan Peoples-Jones,3000,CLE,0.0,2.2
WR,Rashard Higgins,3000,CLE,0.95,0.6
TE,Jake Butt,2900,DEN,0.62,4.6
DST,Jaguars ,2900,JAX,2.0,6.5
TE,Trey Burton,2900,IND,3.6,4.2
TE,Vance McDonald,2800,PIT,3.03,3.8
DST,Eagles ,2800,PHI,7.5,5.9
TE,Kaden Smith,2800,NYG,2.48,3.8
TE,Blake Bell,2800,DAL,2.45,2.5
TE,Ryan Izzo,2700,NE,1.85,3.8
TE,Nick Boyle,2700,BAL,3.45,3.3
TE,Ricky Seals-Jones,2700,KC,0.0,1.5
DST,Browns ,2700,CLE,5.75,6.1
DST,Texans ,2600,HOU,1.75,6.1
TE,Devin Asiasi,2500,NE,0.0,1.2
TE,Albert Okwuegbunam,2500,DEN,0.0,2.0
TE,Andrew Beck,2500,DEN,0.0,0.1
TE,Andrew Beck,2500,DEN,0.0,2.4
TE,Darrell Daniels,2500,ARI,1.1,1.2
TE,Jordan Thomas,2500,ARI,2.43,1.1
TE,Trevon Wesco,2500,NYJ,0.0,1.0
TE,Daniel Brown,2500,NYJ,0.0,0.0
DST,Jets ,2500,NYJ,4.75,6.1
TE,Chris Manhertz,2500,CAR,1.48,1.8
TE,Colin Thompson,2500,CAR,0.0,0.6
TE,Luke Stocker,2500,ATL,0.4,1.5
TE,Jaeden Graham,2500,ATL,0.0,1.2
TE,Jeremy Sprinkle,2500,WAS,0.0,0.6
TE,Gerald Everett,2500,LAR,3.58,3.8
TE,Johnny Mundt,2500,LAR,0.38,0.7
TE,Brycen Hopkins,2500,LAR,0.0,2.1
TE,Lee Smith,2500,BUF,7.1,1.4
TE,MyCole Pruitt,2500,TEN,3.57,2.3
TE,Anthony Firkser,2500,TEN,3.67,4.8
TE,Geoff Swaim,2500,TEN,0.0,1.9
TE,Tommy Sweeney,2500,BUF,0.0,0.1
TE,Reggie Gilliam,2500,BUF,1.78,1.4
TE,Reggie Gilliam,2500,BUF,1.78,0.6
TE,Zach Gentry,2500,PIT,0.0,1.1
TE,Richard Rodgers,2500,PHI,2.5,3.6
TE,Cethan Carter,2500,CIN,1.12,2.3
TE,Mason Schreck,2500,CIN,0.0,0.5
TE,Pharaoh Brown,2500,HOU,0.0,0.8
TE,Kahale Warring,2500,HOU,0.0,2.1
TE,Jason Witten,2500,LV,3.08,2.6
TE,Foster Moreau,2500,LV,4.1,3.0
TE,Derek Carrier,2500,LV,0.0,0.8
TE,Nick Keizer,2500,KC,0.0,1.2
TE,Deon Yelder,2500,KC,0.75,0.5
TE,Ross Dwelley,2500,SF,2.6,1.9
TE,Charlie Woerner,2500,SF,0.0,1.2
TE,Daniel Helm,2500,SF,0.0,2.1
TE,Adam Shaheen,2500,MIA,0.35,1.8
TE,Levine Toilolo,2500,NYG,0.58,1.7
TE,Sean McKeon,2500,DAL,0.0,0.5
TE,Noah Togiai,2500,IND,0.0,1.0
TE,Harrison Bryant,2500,CLE,4.72,3.9
TE,Stephen Carlson,2500,CLE,0.5,0.8
DST,Panthers ,2400,CAR,4.0,6.1
DST,Dolphins ,2400,MIA,5.25,6.0
DST,Bengals ,2300,CIN,3.25,5.4
DST,Giants ,2200,NYG,4.0,5.9
DST,Raiders ,2000,LV,1.25,4.5
