,Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
267,WR,Dede Westbrook,3100,JAX,1.4,3.3
268,TE,James O'Shaughnessy,3100,JAX,4.97,4.1
269,TE,Blake Bell,3100,DAL,1.8,2.3
270,WR,Olabisi Johnson,3100,MIN,4.0,3.9
271,WR,Damion Ratley,3100,NYG,1.3,3.5
272,WR,Quintez Cephus,3000,DET,5.23,1.7
273,WR,Marquez Callaway,3000,NO,0.0,1.5
274,WR,Bennie Fowler III,3000,NO,0.0,1.3
275,WR,Jamal Agnew,3000,DET,1.73,1.2
276,WR,Ashton Dulin,3000,IND,0.53,2.6
277,WR,Dezmon Patmon,3000,IND,0.0,3.5
278,WR,Darnell Mooney,3000,CHI,7.77,6.5
279,WR,Javon Wims,3000,CHI,3.6,2.8
280,WR,Riley Ridley,3000,CHI,0.0,0.1
281,WR,Seth Roberts,3000,CAR,1.7,3.6
282,WR,Pharoh Cooper,3000,CAR,0.0,0.3
283,WR,Brandon Zylstra,3000,CAR,0.0,0.7
284,WR,Keith Kirkwood,3000,CAR,0.0,0.1
285,WR,KeeSean Johnson,3000,ARI,4.4,4.7
286,WR,Trent Sherfield,3000,ARI,0.0,0.2
287,TE,Ian Thomas,3000,CAR,1.83,4.8
288,WR,Chris Moore,3000,BAL,0.0,0.3
289,WR,James Proche,3000,BAL,0.0,0.5
290,WR,Isaiah Wright,3000,WAS,3.5,6.2
291,WR,Cam Sims,3000,WAS,0.0,0.5
292,WR,Jaydon Mickens,3000,TB,0.0,0.5
293,WR,KJ Hill,3000,LAC,0.83,3.4
294,WR,Joe Reed,3000,LAC,0.27,2.2
295,WR,Jakeem Grant,3000,MIA,4.17,4.3
296,WR,Freddie Swain,3000,SEA,4.7,3.0
297,WR,Penny Hart,3000,SEA,0.0,0.8
298,WR,Mack Hollins,3000,MIA,0.0,0.3
299,WR,Lynn Bowden Jr,3000,MIA,0.9,0.4
300,WR,Lynn Bowden Jr,3000,MIA,0.9,0.9
301,WR,Auden Tate,3000,CIN,2.45,4.1
302,WR,Collin Johnson,3000,JAX,1.23,2.8
303,WR,Mike Thomas,3000,CIN,6.57,3.7
304,WR,Alex Erickson,3000,CIN,0.0,0.4
305,DST,Jaguars ,3000,JAX,2.0,6.3
306,WR,Noah Brown,3000,DAL,2.23,2.2
307,WR,Malik Turner,3000,DAL,0.0,0.1
308,WR,Ventell Bryant,3000,DAL,0.0,0.1
309,WR,Rashard Higgins,3000,CLE,0.95,0.7
310,WR,Donovan Peoples-Jones,3000,CLE,0.0,2.1
311,WR,Keke Coutee,3000,HOU,2.1,1.2
312,WR,Tajae Sharpe,3000,MIN,0.0,0.7
313,WR,Dan Chisena,3000,MIN,0.0,0.7
314,WR,Chad Beebe,3000,MIN,1.7,3.5
315,WR,KJ Osborn,3000,MIN,0.0,0.6
316,WR,DeAndre Carter,3000,HOU,0.6,1.0
317,WR,CJ Board,3000,NYG,3.93,5.0
318,WR,Johnny Holton,3000,NYG,0.0,0.0
319,WR,Cody Core,3000,NYG,0.0,0.1
320,WR,Nsimba Webster,3000,LAR,0.0,0.3
321,WR,Zay Jones,3000,LV,4.9,5.2
322,WR,Rico Gafford,3000,LV,0.0,0.0
323,WR,Isaiah McKenzie,3000,BUF,4.47,2.7
324,WR,Andre Roberts,3000,BUF,0.0,0.3
325,WR,Damiere Byrd,3000,NE,6.3,7.4
326,WR,Jakobi Meyers,3000,NE,0.57,2.0
327,WR,Matthew Slater,3000,NE,0.0,0.3
328,WR,Isaiah Zuber,3000,NE,1.3,0.3
329,WR,Gunner Olszewski,3000,NE,0.0,0.8
330,WR,Marcus Kemp,3000,KC,0.0,0.4
331,WR,Byron Pringle,3000,KC,0.0,0.5
332,TE,Trey Burton,2900,IND,0.0,0.9
333,DST,Chargers ,2900,LAC,6.0,5.4
334,TE,Jacob Hollister,2900,SEA,3.67,2.8
335,DST,Bengals ,2900,CIN,2.67,5.8
336,TE,Nick Boyle,2800,BAL,3.97,3.6
337,DST,Vikings ,2800,MIN,1.0,6.7
338,TE,Kaden Smith,2800,NYG,2.63,3.8
339,TE,Lee Smith,2800,BUF,7.1,1.5
340,TE,Dan Arnold,2700,ARI,3.6,5.5
341,DST,Panthers ,2700,CAR,4.33,6.6
342,DST,Raiders ,2700,LV,1.67,6.2
343,TE,Ricky Seals-Jones,2700,KC,0.0,0.4
344,TE,Ryan Izzo,2700,NE,2.47,4.0
345,DST,Giants ,2600,NYG,3.67,5.3
346,TE,Adam Trautman,2500,NO,2.13,4.5
347,TE,Josh Hill,2500,NO,0.87,3.4
348,TE,Zach Wood,2500,NO,0.0,0.2
349,TE,Jesse James,2500,DET,3.93,3.1
350,TE,Hunter Bryant,2500,DET,0.0,2.0
351,TE,Noah Togiai,2500,IND,0.0,1.5
352,TE,Cole Kmet,2500,CHI,0.73,1.7
353,TE,Demetrius Harris,2500,CHI,1.5,2.7
